Date,Average temperature F ,HDD,CDD,Precipitation (Inches),Average daily MLP price,Humidity,Wind Speed (mph)
10-Jun-08,69,11,0,0,43.3,67.5,11.5
11-Jun-08,73.5,6.5,0,0,70,63,12
12-Jun-08,82,0,2,0,89.1,49.5,14.5
13-Jun-08,73.5,6.5,0,0.39,67.3,75.5,16.5
14-Jun-08,71.5,8.5,0,0,41.4,55.5,10
15-Jun-08,71,9,0,0.18,5,66.5,16
16-Jun-08,65.5,14.5,0,0,40.3,55,10.5
17-Jun-08,65.5,14.5,0,0,17.9,51.5,11
18-Jun-08,66.5,13.5,0,0,45.3,52.5,10
19-Jun-08,66.5,13.5,0,0,54.1,0,0
20-Jun-08,70,10,0,0.09,63.5,56,10.5
21-Jun-08,71.5,8.5,0,0.01,48.1,56,10
22-Jun-08,69.5,10.5,0,0.16,23.4,56,11
23-Jun-08,66.5,13.5,0,0,63.1,64.5,7
24-Jun-08,68.5,11.5,0,0,63.7,60.5,7.5
25-Jun-08,72.5,7.5,0,0.08,79.1,73.5,11.5
26-Jun-08,78,2,0,0,81.4,69.5,7.5
27-Jun-08,75,5,0,0,61.2,77.5,10
28-Jun-08,73.5,6.5,0,0.04,50.2,54,19
29-Jun-08,67.5,12.5,0,0.58,24.5,71.5,14.5
30-Jun-08,69.5,10.5,0,0,48.4,57,10.5
1-Jul-08,70.5,9.5,0,0,59.4,48.5,8.5
2-Jul-08,75,5,0,0.2,57.8,67,14.5
3-Jul-08,63,17,0,0,32.8,63.5,10.5
4-Jul-08,64,16,0,0,14.3,59,7.5
5-Jul-08,67,13,0,0,27.2,59,6.5
6-Jul-08,73,7,0,0,66.8,56.5,10.5
7-Jul-08,79,1,0,0.03,72.5,66,13
8-Jul-08,77.5,2.5,0,0.03,73.8,72.5,9
9-Jul-08,76,4,0,0,73.5,50,11
10-Jul-08,73,7,0,0.72,53.6,72,14.5
11-Jul-08,76,4,0,0.34,73.4,71,11
12-Jul-08,73,7,0,0.73,65.8,65,13
13-Jul-08,70.5,9.5,0,0,28.9,60,12.5
14-Jul-08,73,7,0,0,68.6,57.5,8
15-Jul-08,75.5,4.5,0,0,81.1,60.5,11
16-Jul-08,80.5,0,0.5,0,98.3,68.5,10
17-Jul-08,80,0,0,0,76.2,65,9
18-Jul-08,80,0,0,0.04,72.9,67,8
19-Jul-08,72.5,7.5,0,1.61,65.6,83,8
20-Jul-08,77,3,0,0.74,63.9,79,7
21-Jul-08,75.5,4.5,0,0.13,79.1,75.5,11
22-Jul-08,70,10,0,0,60.6,70,9
23-Jul-08,70.5,9.5,0,0,51.7,57,8
24-Jul-08,70.5,9.5,0,0,48.4,55,7.5
25-Jul-08,71.5,8.5,0,0,56.6,72.5,7
26-Jul-08,74.5,5.5,0,0,70.5,59,8
27-Jul-08,72.5,7.5,0,0,51.9,59,7.5
28-Jul-08,75.5,4.5,0,0,69.8,67,7
29-Jul-08,76.5,3.5,0,0.05,80,68.5,11.5
30-Jul-08,80.5,0,0.5,0,73.2,61,8
31-Jul-08,80.5,0,0.5,0.14,73.9,66,14
1-Aug-08,78.5,1.5,0,1.05,80.3,66.5,11
2-Aug-08,73,7,0,0,59.3,64.5,7.5
3-Aug-08,72.5,7.5,0,0,38.8,65,7.5
4-Aug-08,78.5,1.5,0,2.43,55.6,73.5,13
5-Aug-08,78,2,0,0,75.9,70.5,7.5
6-Aug-08,75.5,4.5,0,0,66.8,56,7
7-Aug-08,73,7,0,0,54.3,56.5,11
8-Aug-08,71,9,0,0,46.2,64.5,7
9-Aug-08,71,9,0,0,46.3,68,11.5
10-Aug-08,66,14,0,0,26.7,61,8.5
11-Aug-08,68,12,0,0,36.1,67,6
12-Aug-08,69,11,0,0,44.3,67,6
13-Aug-08,72.5,7.5,0,0.06,53.4,63,8.5
14-Aug-08,71,9,0,0,56.9,69,8
15-Aug-08,69.5,10.5,0,0,42.6,61.5,8
16-Aug-08,70.5,9.5,0,0,43.2,59,7.5
17-Aug-08,73.5,6.5,0,0,49.4,60,7
18-Aug-08,75,5,0,0,63.3,57.5,7.5
19-Aug-08,72.5,7.5,0,0,51.3,75.5,8
20-Aug-08,73,7,0,0,49.5,66,7
21-Aug-08,75,5,0,0,53.5,63,9
22-Aug-08,77.5,2.5,0,0.09,60,74.5,16
23-Aug-08,77.5,2.5,0,0,63.9,69.5,9
24-Aug-08,70,10,0,0,35.6,63.5,8.5
25-Aug-08,69,11,0,0,37.4,58.5,10
26-Aug-08,68.5,11.5,0,0,40.4,68,8.5
27-Aug-08,72,8,0,0,46.2,57.5,7
28-Aug-08,71.5,8.5,0,0.06,75.7,74.5,11
29-Aug-08,74.5,5.5,0,0.04,70.8,61,6.5
30-Aug-08,71.5,8.5,0,0,50.1,58,7
31-Aug-08,75,5,0,0,39.5,55.5,8.5
1-Sep-08,76,4,0,0,33.2,55.5,8
2-Sep-08,79.5,0.5,0,0,72,58,11.5
3-Sep-08,71.5,8.5,0,0.02,66.2,73.5,8.5
4-Sep-08,64,16,0,2.9,37.4,78,11
5-Sep-08,63.5,16.5,0,0,34.6,78.5,8.5
6-Sep-08,63.5,16.5,0,0.01,28.8,74.5,7.5
7-Sep-08,64.5,15.5,0,0,29.9,63.5,7
8-Sep-08,59.5,20.5,0,1.23,35.7,77,7.5
9-Sep-08,59,21,0,0,20.5,65,6.5
10-Sep-08,60,20,0,0,26.5,67,7
11-Sep-08,67,13,0,0,47.5,69.5,10
12-Sep-08,71,9,0,0.37,73.3,90.5,6.5
13-Sep-08,71.5,8.5,0,6.64,75.1,93.5,12
14-Sep-08,65,15,0,1.44,45.9,87.5,12
15-Sep-08,58,22,0,0,25.8,76.5,7.5
16-Sep-08,60,20,0,0,28.4,71,7
17-Sep-08,69.5,10.5,0,0,52.2,64.5,7.5
18-Sep-08,65,15,0,0,36.8,71,7.5
19-Sep-08,65.5,14.5,0,0,34.2,65.5,5
20-Sep-08,69,11,0,0,42.9,67.5,5
21-Sep-08,69,11,0,0,36.2,76,6
22-Sep-08,71,9,0,0,58.4,70.5,8
23-Sep-08,70.5,9.5,0,0,50,0,0
24-Sep-08,69.5,10.5,0,0.2,43.7,0,0
25-Sep-08,70,10,0,0,53.2,0,0
26-Sep-08,69,11,0,0,44.1,0,0
27-Sep-08,67,13,0,0,38.4,0,0
28-Sep-08,62.5,17.5,0,0,31.5,0,0
29-Sep-08,59,21,0,0.82,40.6,0,0
30-Sep-08,53.5,26.5,0,0,36.4,0,0
1-Oct-08,53.5,26.5,0,0,32.4,64,10
2-Oct-08,51.5,28.5,0,0,39.4,64,9
3-Oct-08,52,28,0,0.01,35.5,69.5,7.5
4-Oct-08,49.5,30.5,0,0,29.4,66.5,7
5-Oct-08,51,29,0,0.06,29.7,67.5,8
6-Oct-08,61.5,18.5,0,0,35.3,59.5,10
7-Oct-08,59.5,20.5,0,0.8,38.1,76,10.5
8-Oct-08,57,23,0,0.19,40.1,72.5,8.5
9-Oct-08,58,22,0,0,41,54,7
10-Oct-08,57,23,0,0,32.9,54,8
11-Oct-08,65,15,0,0,37.1,60.5,6
12-Oct-08,70.5,9.5,0,0,34.4,66.5,7
13-Oct-08,69,11,0,0,45,69,8
14-Oct-08,61,19,0,0,45.8,59,11.5
15-Oct-08,55,25,0,0.3,53.7,79,9
16-Oct-08,51,29,0,0,39.4,61,7
17-Oct-08,50,30,0,0,40.4,66,6
18-Oct-08,51.5,28.5,0,0.05,31.9,64.5,6.5
19-Oct-08,51,29,0,0,23.1,64,11
20-Oct-08,49,31,0,0.18,49.3,75,8.5
21-Oct-08,46.5,33.5,0,0,48,69.5,7.5
22-Oct-08,43.5,36.5,0,0,40.7,61.5,12
23-Oct-08,49.5,30.5,0,0.16,28.2,61,10.5
24-Oct-08,49,31,0,0.32,49.7,79.5,9
25-Oct-08,48,32,0,0,23.6,77.5,10.5
26-Oct-08,46.5,33.5,0,0,19.1,54.5,18.5
27-Oct-08,40,40,0,0,38,60.5,14
28-Oct-08,38,42,0,0,46.5,57,10
29-Oct-08,41.5,38.5,0,0,40.9,55,6.5
30-Oct-08,46.5,33.5,0,0,38.3,59.5,10.5
31-Oct-08,59,21,0,0,34.5,67,8
1-Nov-08,51,29,0,0,29.9,75,7.5
2-Nov-08,57.5,22.5,0,0.1,28.6,73,9
3-Nov-08,63.5,16.5,0,0,45.1,62,10
4-Nov-08,60.5,19.5,0,0,35.3,60.5,7.5
5-Nov-08,59,21,0,0,40,62,13
6-Nov-08,55,25,0,0.34,39.8,71,12.5
7-Nov-08,41,39,0,0.06,36.7,75,10.5
8-Nov-08,37.5,42.5,0,0.05,33.2,82.5,11
9-Nov-08,34.5,45.5,0,0,42.3,71,10.5
10-Nov-08,32.5,47.5,0,0,53.2,59.5,7.5
11-Nov-08,30.5,49.5,0,0.29,46.6,72,10
12-Nov-08,43,37,0,0.04,36.2,84.5,9
13-Nov-08,49.5,30.5,0,0.06,33.4,80.5,12.5
14-Nov-08,47,33,0,0.05,34.6,78.5,11.5
15-Nov-08,38.5,41.5,0,0,31.9,62,14
16-Nov-08,33,47,0,0.01,35.8,69,9
17-Nov-08,31,49,0,0,42.2,59,11
18-Nov-08,27.5,52.5,0,0,56.6,53,9
19-Nov-08,36.5,43.5,0,0,58,53,13
20-Nov-08,29,51,0,0,56,49,12
21-Nov-08,23,57,0,0,69,51,9
22-Nov-08,26,54,0,0,50.2,57.5,7.5
23-Nov-08,32.5,47.5,0,0,31.9,61.5,8.5
24-Nov-08,35,45,0,0.14,34.2,74,11.5
25-Nov-08,34,46,0,0,44.4,61,10.5
26-Nov-08,33,47,0,0,38.2,60,5
27-Nov-08,33.5,46.5,0,0,17.4,68.5,11.5
28-Nov-08,35,45,0,0,28.3,60.5,7.5
29-Nov-08,32,48,0,0,34.3,67.5,6
30-Nov-08,36,44,0,0.67,31.3,77.5,11
1-Dec-08,27,53,0,0.42,41.8,80,15
2-Dec-08,28,52,0,0,47.6,73,12.5
3-Dec-08,29,51,0,0.09,40.1,80.5,11.5
4-Dec-08,17,63,0,0,45.1,68.5,9
5-Dec-08,15,65,0,0,53.8,68.5,11.5
6-Dec-08,22.5,57.5,0,0.02,53.7,74,14
7-Dec-08,12,68,0,0,49.6,68,7.5
8-Dec-08,27,53,0,0.02,44.3,73.5,8
9-Dec-08,31.5,48.5,0,1.47,33.2,81,11.5
10-Dec-08,23.5,56.5,0,0,46.7,74.5,10
11-Dec-08,24.5,55.5,0,0,36,68,8.5
12-Dec-08,16,64,0,0,42,64.5,8.5
13-Dec-08,29,51,0,0.19,46.3,73,15.5
14-Dec-08,40.5,39.5,0,0.18,31.3,78.5,16.5
15-Dec-08,18,62,0,0.07,46.9,71.5,15
16-Dec-08,14,66,0,0.31,57.3,80.5,8
17-Dec-08,13,67,0,0,44.9,75.5,7
18-Dec-08,13,67,0,0.06,48.2,74.5,6
19-Dec-08,27,53,0,0.59,45.2,82,10.5
20-Dec-08,24,56,0,0.05,38.4,78.5,11.5
21-Dec-08,5,75,0,0,50.9,73.5,15.5
22-Dec-08,1.5,78.5,0,0,73.4,72.5,8.5
23-Dec-08,20.5,59.5,0,0.27,47.2,82.5,12.5
24-Dec-08,20,60,0,0.18,23.8,84.5,14
25-Dec-08,12,68,0,0,26.3,68.5,8
26-Dec-08,38,42,0,0.09,31.5,87,15
27-Dec-08,46.5,33.5,0,1.74,22,93.5,15.5
28-Dec-08,28,52,0,0,22.8,68,17.5
29-Dec-08,36,44,0,0,30.6,69,14
30-Dec-08,32,48,0,0.02,28.3,63.5,10.5
31-Dec-08,17.5,62.5,0,0,28.8,58,15.5
1-Jan-09,24,56,0,0,33.7,66,12
2-Jan-09,24,56,0,0,35.4,60,12.5
3-Jan-09,26.5,53.5,0,0.01,35.5,66.5,11
4-Jan-09,27,53,0,0.1,33.5,76,11
5-Jan-09,20,60,0,0,40.6,56.5,8
6-Jan-09,23,57,0,0.04,41.4,79.5,8
7-Jan-09,21,59,0,0.02,36.8,82.5,10
8-Jan-09,16.5,63.5,0,0,50.6,73,8.5
9-Jan-09,20.5,59.5,0,0.27,36.9,76.5,8.5
10-Jan-09,24.5,55.5,0,0.35,34.3,84.5,10.5
11-Jan-09,16.5,63.5,0,0,40.4,77,6.5
12-Jan-09,16,64,0,0.1,35.3,88.5,7.5
13-Jan-09,13.5,66.5,0,0,35.3,70.5,12.5
14-Jan-09,6,74,0,0.16,42.5,74.5,12
15-Jan-09,-7,87,0,0,60.4,61.5,8.5
16-Jan-09,-7.5,87.5,0,0,68.6,62.5,8.5
17-Jan-09,13.5,66.5,0,0,52.3,72,14.5
18-Jan-09,12.5,67.5,0,0,37.4,68,8.5
19-Jan-09,16,64,0,0,48.4,74,9
20-Jan-09,17.5,62.5,0,0,60.2,70.5,9
21-Jan-09,20.5,59.5,0,0,48.8,73,10
22-Jan-09,23.5,56.5,0,0,40.1,77.5,7
23-Jan-09,23.5,56.5,0,0,37.1,72.5,13
24-Jan-09,6,74,0,0,42.7,59.5,10.5
25-Jan-09,5.5,74.5,0,0,44.6,57.5,6.5
26-Jan-09,8,72,0,0,45.1,54.5,5
27-Jan-09,13.5,66.5,0,0.04,45.3,71,4.5
28-Jan-09,13,67,0,0.07,38.3,70,8.5
29-Jan-09,22,58,0,0,40.8,69.5,10
30-Jan-09,9,71,0,0,41.1,65.5,9
31-Jan-09,22.5,57.5,0,0,31.5,69,12.5
1-Feb-09,30,50,0,0,27,61,7.5
2-Feb-09,17,63,0,0,31.5,69,11
3-Feb-09,10.5,69.5,0,0,47.6,67.5,14
4-Feb-09,8.5,71.5,0,0,55.3,59,11
5-Feb-09,10.5,69.5,0,0,48.8,71.5,12
6-Feb-09,25,55,0,0,38.9,77.5,9
7-Feb-09,46,34,0,0,23.4,75,13
8-Feb-09,34,46,0,0,25.8,74.5,7
9-Feb-09,39.5,40.5,0,0.12,30.5,79,13
10-Feb-09,51,29,0,0,29.4,71,15.5
11-Feb-09,43,37,0,0.83,27.4,85,16
12-Feb-09,34,46,0,0,18.3,67,13
13-Feb-09,30.5,49.5,0,0.04,30.1,74,6.5
14-Feb-09,28.5,51.5,0,0.01,27.3,74,7.5
15-Feb-09,25,55,0,0,29.4,63.5,7
16-Feb-09,25,55,0,0,35.7,60.5,6
17-Feb-09,34.5,45.5,0,0,34.4,71,12
18-Feb-09,27.5,52.5,0,0.22,29.1,81,15
19-Feb-09,17,63,0,0,36.7,57,12.5
20-Feb-09,20,60,0,0,34.8,53,9
21-Feb-09,24.5,55.5,0,0.14,34.9,74.5,14
22-Feb-09,18.5,61.5,0,0,35,67.5,8.5
23-Feb-09,18,62,0,0,39.1,58.5,6
24-Feb-09,28,52,0,0,38.3,68,10
25-Feb-09,44.5,35.5,0,0.01,28.4,67.5,11
26-Feb-09,42.5,37.5,0,1.95,28.8,87.5,7.5
27-Feb-09,33.5,46.5,0,0.07,34,81,13
28-Feb-09,23.5,56.5,0,0,38.4,65.5,10.5
1-Mar-09,18,62,0,0,39.7,60.5,12
2-Mar-09,18,62,0,0.01,51.7,72,9
3-Mar-09,23,57,0,0,46.9,63,6.5
4-Mar-09,35,45,0,0,3.5,0,0
5-Mar-09,50.5,29.5,0,0,19,64,16
6-Mar-09,52,28,0,0,17.4,60,10.5
7-Mar-09,42,38,0,0.87,28.7,84.5,11.5
8-Mar-09,38.5,41.5,0,1.67,30,91,10.5
9-Mar-09,38.5,41.5,0,0.08,33.5,78,8
10-Mar-09,47,33,0,0.51,20.9,86,17.5
11-Mar-09,25,55,0,0,29.6,62,12
12-Mar-09,20,60,0,0,33.6,59,8
13-Mar-09,29.5,50.5,0,0,23.9,58.5,6.5
14-Mar-09,37.5,42.5,0,0,15.6,58,6
15-Mar-09,43,37,0,0,20.7,56,6.5
16-Mar-09,52,28,0,0,26,45,7.5
17-Mar-09,57.5,22.5,0,0,19.4,57.5,15
18-Mar-09,49.5,30.5,0,0,20.3,45,9
19-Mar-09,37,43,0,0,25,52.5,9
20-Mar-09,33.5,46.5,0,0,30.1,52,6.5
21-Mar-09,49,31,0,0,25.9,48,7.5
22-Mar-09,48.5,31.5,0,0,12.1,55.5,9
23-Mar-09,47,33,0,0.04,16.5,57,14
24-Mar-09,58.5,21.5,0,0.16,30,58,19
25-Mar-09,42.5,37.5,0,0,34,73.5,11.5
26-Mar-09,46,34,0,0,37.2,60,8.5
27-Mar-09,37.5,42.5,0,0,25.8,64.5,7.5
28-Mar-09,35,45,0,0.47,28.2,77.5,14
29-Mar-09,36,44,0,0.95,29.1,75.5,12
30-Mar-09,36,44,0,0,33.5,59.5,8
31-Mar-09,45,35,0,0.44,32.5,75,14
1-Apr-09,44.5,35.5,0,0,28,52.5,15
2-Apr-09,43.5,36.5,0,0.14,28.6,67,11.5
3-Apr-09,43.5,36.5,0,0.04,26.8,63.5,12.5
4-Apr-09,40.5,39.5,0,0,25.9,54.5,8.5
5-Apr-09,38,42,0,0.51,21.3,72,14
6-Apr-09,36,44,0,0,35.3,68,12.5
7-Apr-09,39,41,0,0,34.8,45,12.5
8-Apr-09,42.5,37.5,0,0,28.8,49,8
9-Apr-09,44.5,35.5,0,0,29.1,40,7
10-Apr-09,42.5,37.5,0,0,24.4,50.5,14
11-Apr-09,39,41,0,0,21.4,56.5,9
12-Apr-09,39,41,0,0,13.5,58.5,8
13-Apr-09,41,39,0,0.29,27.9,68.5,12.5
14-Apr-09,40,40,0,0,33.1,70.5,11.5
15-Apr-09,46.5,33.5,0,0,37.5,47,10
16-Apr-09,47.5,32.5,0,0,29.8,0,0
17-Apr-09,51,29,0,0,28.1,48.5,7
18-Apr-09,56.5,23.5,0,0,26.4,54.5,6.5
19-Apr-09,53,27,0,0.9,23.6,82.5,6.5
20-Apr-09,45.5,34.5,0,0.17,27.3,77,12
21-Apr-09,40.5,39.5,0,0.09,31,77.5,14.5
22-Apr-09,49,31,0,0,27.1,53.5,11.5
23-Apr-09,52,28,0,0.32,26,60,12.5
24-Apr-09,66.5,13.5,0,0,31.3,67.5,16.5
25-Apr-09,59,21,0,0.84,26.4,71,15
26-Apr-09,60.5,19.5,0,0.57,32.6,71,14
27-Apr-09,61,19,0,0.55,27.4,71,17.5
28-Apr-09,46.5,33.5,0,0.04,27.3,71.5,12
29-Apr-09,50.5,29.5,0,0.02,29.4,85,6.5
30-Apr-09,58.5,21.5,0,0.71,29.6,89,9
1-May-09,53,27,0,0.02,23.8,68.5,8.5
2-May-09,55,25,0,0,25.5,51,11
3-May-09,56.5,23.5,0,0,15.3,46.5,8
4-May-09,56.5,23.5,0,0,36,49,8.5
5-May-09,60,20,0,0,21.7,57,8
6-May-09,63,17,0,0.67,28.2,67,8.5
7-May-09,66.5,13.5,0,0.19,36.2,62,11.5
8-May-09,65,15,0,0.02,30.8,62,8.5
9-May-09,54.5,25.5,0,0,31,68.5,16.5
10-May-09,53.5,26.5,0,0,24.2,56.5,11
11-May-09,50,30,0,0,30.9,60,6.5
12-May-09,55,25,0,0,18.5,53,11.5
13-May-09,61.5,18.5,0,0.55,14.3,64.5,15
14-May-09,60.5,19.5,0,0,30.1,57,12
15-May-09,56.5,23.5,0,0.39,39.3,78.5,14
16-May-09,53.5,26.5,0,0,26.8,62.5,13
17-May-09,51,29,0,0,25.9,42.5,7.5
18-May-09,53,27,0,0,20.3,52,11
19-May-09,66,14,0,0,20.2,49,11.5
20-May-09,72.5,7.5,0,0,20.5,39.5,11.5
21-May-09,72,8,0,0,30.9,46,10.5
22-May-09,61,19,0,0,35.8,61,10
23-May-09,65,15,0,0,34.1,59.5,7
24-May-09,63,17,0,0,25.8,63,11
25-May-09,60.5,19.5,0,0.04,20,56.5,10
26-May-09,63.5,16.5,0,1.73,24.5,70,6.5
27-May-09,64,16,0,0.02,28.2,83,8
28-May-09,58,22,0,0,28.3,76.5,8
29-May-09,62,18,0,0,26.5,62,9
30-May-09,64.5,15.5,0,0,23.7,58,9
31-May-09,59,21,0,0,20.3,54.5,8
1-Jun-09,64.5,15.5,0,0.44,24.1,76,13
2-Jun-09,54,26,0,0.12,20.5,75,9
3-Jun-09,52,28,0,0,20.6,61,11
4-Jun-09,55,25,0,0,24.5,53,5
5-Jun-09,61.5,18.5,0,0,19.1,56.5,8.5
6-Jun-09,57,23,0,0.02,8.9,69,7
7-Jun-09,62.5,17.5,0,0.04,-2.9,76,8.5
8-Jun-09,66,14,0,0.45,19.8,75.5,12
9-Jun-09,61,19,0,0,26.9,80,6.5
10-Jun-09,60.5,19.5,0,0.01,21.1,67.5,7
11-Jun-09,58.5,21.5,0,0.01,27.6,76.5,9
12-Jun-09,61.5,18.5,0,0,25.9,65,6.5
13-Jun-09,61,19,0,0.33,18,74.5,6.5
14-Jun-09,64,16,0,0,22.4,57,6
15-Jun-09,67,13,0,0,32.6,55.5,8
16-Jun-09,65,15,0,1.23,20.9,66.5,11.5
17-Jun-09,66,14,0,0,26.5,84,7
18-Jun-09,70.5,9.5,0,0.12,28.7,73,8
19-Jun-09,75.5,4.5,0,3.97,32.7,83.5,15
20-Jun-09,77.5,2.5,0,0,27.7,66.5,8.5
21-Jun-09,77,3,0,0.01,28.7,70.5,5
22-Jun-09,78.5,1.5,0,0.09,44.2,69.5,6.5
23-Jun-09,82.5,0,2.5,0,44.5,64,5
24-Jun-09,84.5,0,4.5,0.04,37.8,63,19
25-Jun-09,84.5,0,4.5,0,38.1,61,7.5
26-Jun-09,77.5,2.5,0,0,34.1,58,6.5
27-Jun-09,75.5,4.5,0,0.3,32.7,63,11
28-Jun-09,74.5,5.5,0,0,25.2,58.5,15
29-Jun-09,70,10,0,0,21.1,55,11.5
30-Jun-09,62.5,17.5,0,0,22.9,70.5,7.5
1-Jul-09,61,19,0,0,23.4,69,7.5
2-Jul-09,66,14,0,0,26.8,68.5,7.5
3-Jul-09,71,9,0,0,16.5,63,8.5
4-Jul-09,64,16,0,0.2,17,82,4.5
5-Jul-09,69,11,0,0.05,19.8,72.5,7
6-Jul-09,73,7,0,0,37.6,58,8.5
7-Jul-09,68,12,0,0,29.7,62,6.5
8-Jul-09,63,17,0,0.06,44.4,81,5
9-Jul-09,69,11,0,0,25.1,67.5,7.5
10-Jul-09,72.5,7.5,0,0.08,26,75.5,7
11-Jul-09,74,6,0,0.25,26.5,64.5,9
12-Jul-09,70,10,0,0,28.4,50.5,6
13-Jul-09,70,10,0,0,31.3,49,8
14-Jul-09,67.5,12.5,0,0,24.5,56.5,7.5
15-Jul-09,75,5,0,0.68,27.2,63.5,12
16-Jul-09,72,8,0,0,26.1,62,10.5
17-Jul-09,63.5,16.5,0,0,13.2,63.5,11.5
18-Jul-09,64.5,15.5,0,0,25.9,60.5,7.5
19-Jul-09,64,16,0,0,22.2,62,6
20-Jul-09,65.5,14.5,0,0,29,69.5,8
21-Jul-09,69,11,0,0.04,29.9,64.5,7.5
22-Jul-09,70.5,9.5,0,0,29.8,72.5,8.5
23-Jul-09,72,8,0,0,30.5,66,9
24-Jul-09,72,8,0,0.14,23.1,63,16.5
25-Jul-09,73.5,6.5,0,0,19.6,66,10.5
26-Jul-09,72.5,7.5,0,0,21.2,64.5,8.5
27-Jul-09,74,6,0,0.02,31.7,63.5,19
28-Jul-09,75,5,0,0.01,32.5,62,17.5
29-Jul-09,71.5,8.5,0,0,19.9,51,7.5
30-Jul-09,69,11,0,0,23.7,66,12
31-Jul-09,69.5,10.5,0,0,29.4,64.5,8
1-Aug-09,68,12,0,0,24.5,77,12.5
2-Aug-09,67.5,12.5,0,0,25.8,62.5,8.5
3-Aug-09,75.5,4.5,0,0.07,29.7,63,11.5
4-Aug-09,76,4,0,0,32.8,68,10
5-Aug-09,70,10,0,0,28.1,61.5,6.5
6-Aug-09,71,9,0,0,27.5,54,6.5
7-Aug-09,69,11,0,0.33,26.3,73,7.5
8-Aug-09,78.5,1.5,0,0.02,25.1,76.5,11
9-Aug-09,84,0,4,0.18,33.7,67,12
10-Aug-09,77.5,2.5,0,0,37,67.5,7.5
11-Aug-09,72,8,0,0,34.3,67.5,8
12-Aug-09,71.5,8.5,0,0,25.9,60.5,7
13-Aug-09,73,7,0,0,31.4,58,7.5
14-Aug-09,75.5,4.5,0,0,39.1,58.5,7
15-Aug-09,78,2,0,0,36.5,57.5,10
16-Aug-09,79,1,0,0.63,32.6,70.5,13
17-Aug-09,76.5,3.5,0,0.33,35.5,75.5,7
18-Aug-09,74,6,0,0,36.6,62,9
19-Aug-09,71,9,0,0.35,33.7,63.5,10
20-Aug-09,71,9,0,0.07,29,70,12
21-Aug-09,66,14,0,0.16,27.9,73.5,10
22-Aug-09,62.5,17.5,0,0,23.1,67.5,8.5
23-Aug-09,65,15,0,0,14.1,69.5,5
24-Aug-09,66.5,13.5,0,0,25.3,69,6.5
25-Aug-09,71,9,0,0,25.4,67.5,10
26-Aug-09,67.5,12.5,0,0.93,25.5,83,7
27-Aug-09,64,16,0,0.95,27.1,86.5,9
28-Aug-09,64,16,0,0.22,24.3,89,6.5
29-Aug-09,62.5,17.5,0,0.02,13.4,69,11
30-Aug-09,58.5,21.5,0,0,13.8,68.5,8.5
31-Aug-09,58.5,21.5,0,0,18,58.5,7
1-Sep-09,59.5,20.5,0,0,19.7,63,6.5
2-Sep-09,61.5,18.5,0,0,22.6,65.5,6
3-Sep-09,65.5,14.5,0,0,23.3,66,6.5
4-Sep-09,64.5,15.5,0,0,23.8,68,6
5-Sep-09,66,14,0,0,23.7,66.5,7
6-Sep-09,69,11,0,0.03,21,73,6.5
7-Sep-09,68,12,0,0,17.4,71.5,6.5
8-Sep-09,69,11,0,0,23.7,70,7.5
9-Sep-09,71.5,8.5,0,0,27.7,76.5,7
10-Sep-09,72.5,7.5,0,0,25.4,72.5,7.5
11-Sep-09,70.5,9.5,0,0,25.4,71,7
12-Sep-09,68.5,11.5,0,0,29.2,69.5,6.5
13-Sep-09,69,11,0,0,28.1,66.5,5
14-Sep-09,71,9,0,0,38.7,58,4.5
15-Sep-09,73,7,0,0,28.8,64.5,9
16-Sep-09,65,15,0,0,29.2,68,10.5
17-Sep-09,61,19,0,0,22.5,71.5,6
18-Sep-09,64.5,15.5,0,0,25.4,69,7.5
19-Sep-09,65.5,14.5,0,0,23.9,69.5,7
20-Sep-09,63.5,16.5,0,0.75,17.2,68.5,8
21-Sep-09,63.5,16.5,0,0,29.6,89,5
22-Sep-09,68,12,0,0,27.2,84,10
23-Sep-09,69,11,0,0,25.5,84,5
24-Sep-09,68.5,11.5,0,0,28.4,82,5
25-Sep-09,65,15,0,0.16,24.5,77,9
26-Sep-09,62,18,0,0,25.5,78,6
27-Sep-09,62,18,0,0.08,23.1,73,13
28-Sep-09,55.5,24.5,0,0.01,21,61.5,15
29-Sep-09,54,26,0,0,24.3,65,11.5
30-Sep-09,54.5,25.5,0,0,21.9,61,6.5
1-Oct-09,50,30,0,0.89,22.8,75,11.5
2-Oct-09,51.5,28.5,0,0.21,23.7,85.5,9
3-Oct-09,52,28,0,0.11,22.4,79.5,7.5
4-Oct-09,52.5,27.5,0,0,22.2,66.5,9
5-Oct-09,52.5,27.5,0,0,25.2,71,6.5
6-Oct-09,55,25,0,0.03,27.4,69,16.5
7-Oct-09,52.5,27.5,0,0,24.3,58,11
8-Oct-09,49,31,0,0.12,27.5,83.5,7.5
9-Oct-09,45.5,34.5,0,0.46,26.6,86,8.5
10-Oct-09,39.5,40.5,0,0,26.4,69,9
11-Oct-09,36.5,43.5,0,0,25.1,64,6
12-Oct-09,44.5,35.5,0,0.02,30.2,70.5,4.5
13-Oct-09,40.5,39.5,0,0,27.7,65.5,8.5
14-Oct-09,45,35,0,0.03,31.6,71,10
15-Oct-09,42.5,37.5,0,0.29,34.1,85.5,8
16-Oct-09,42,38,0,0.04,27.7,81,10
17-Oct-09,44,36,0,0,25.1,63,8
18-Oct-09,42,38,0,0,22.5,71,8
